date,System_1,System_2,System_3,System_4,System_5,System_6,System_7,System_8
01/01/21,149,151,167,167,150,152,168,168
01/02/21,171,161,162,162,172,162,163,163
01/03/21,169,158,149,149,170,159,150,150
01/04/21,149,167,151,151,150,168,152,152
01/05/21,171,162,161,161,172,163,162,162
01/06/21,169,149,158,158,170,150,159,159
01/07/21,165,171,151,167,166,172,152,168
01/08/21,159,169,161,162,160,170,162,163
01/09/21,164,165,158,149,165,166,159,150
01/10/21,166,159,167,171,167,160,168,172
01/11/21,171,164,162,169,172,165,163,170
01/12/21,169,166,149,165,170,167,150,166
01/13/21,165,151,171,159,166,152,172,160
01/14/21,159,161,169,164,160,162,170,165
01/15/21,164,158,165,166,165,159,166,167
01/16/21,166,167,159,151,167,168,160,152
01/17/21,151,162,164,161,152,163,165,162
01/18/21,161,149,166,158,162,150,167,159
01/19/21,158,171,151,167,159,172,152,168
01/20/21,167,169,161,162,168,170,162,163
01/21/21,162,165,158,149,163,166,159,150
01/22/21,149,159,167,171,150,160,168,172
01/23/21,171,164,162,169,172,165,163,170
01/24/21,169,166,149,165,170,167,150,166
01/25/21,165,151,171,159,166,152,172,160
01/26/21,159,161,169,164,160,162,170,165
01/27/21,164,158,165,166,165,159,166,167
01/28/21,166,167,159,151,167,168,160,152
01/29/21,151,162,164,161,152,163,165,162
01/30/21,161,149,166,158,162,150,167,159
01/31/21,158,171,151,167,159,172,152,168
02/01/21,149,151,167,167,150,152,168,168
02/02/21,171,161,162,162,172,162,163,163
02/03/21,169,158,149,149,170,159,150,150
02/04/21,149,167,151,151,150,168,152,152
02/05/21,171,162,161,161,172,163,162,162
02/06/21,169,149,158,158,170,150,159,159
02/07/21,165,171,151,167,166,172,152,168
02/08/21,159,169,161,162,160,170,162,163
02/09/21,164,165,158,149,165,166,159,150
02/10/21,166,159,167,171,167,160,168,172
02/11/21,171,164,162,169,172,165,163,170
02/12/21,169,166,149,165,170,167,150,166
02/13/21,165,151,171,159,166,152,172,160
02/14/21,159,161,169,164,160,162,170,165
02/15/21,164,158,165,166,165,159,166,167
02/16/21,166,167,159,151,167,168,160,152
02/17/21,151,162,164,161,152,163,165,162
02/18/21,161,149,166,158,162,150,167,159
02/19/21,158,171,151,167,159,172,152,168
02/20/21,167,169,161,162,168,170,162,163
02/21/21,162,165,158,149,163,166,159,150
02/22/21,149,159,167,171,150,160,168,172
02/23/21,171,164,162,169,172,165,163,170
02/24/21,169,166,149,165,170,167,150,166
02/25/21,165,151,171,159,166,152,172,160
02/26/21,159,161,169,164,160,162,170,165
