year,race,sex,average_life_expectancy,mortality
14/03/05,All Races,Both Sexes,47.3,2518
15/03/05,All Races,Both Sexes,49.1,2473.1
16/03/05,All Races,Both Sexes,51.5,2301.3
17/03/05,All Races,Both Sexes,50.5,2379
18/03/05,All Races,Both Sexes,47.6,2502.5
19/03/05,All Races,Both Sexes,48.7,2423.7
20/03/05,All Races,Both Sexes,48.7,2399
21/03/05,All Races,Both Sexes,47.6,2494.4
22/03/05,All Races,Both Sexes,51.1,2298.9
23/03/05,All Races,Both Sexes,52.1,2249.2
24/03/05,All Races,Both Sexes,50,2317.2
25/03/05,All Races,Both Sexes,52.6,2245.4
26/03/05,All Races,Both Sexes,53.5,2211.7
27/03/05,All Races,Both Sexes,52.5,2206.5
28/03/05,All Races,Both Sexes,54.2,2149.3
29/03/05,All Races,Both Sexes,54.5,2174.8
30/03/05,All Races,Both Sexes,51.7,2266.6
31/03/05,All Races,Both Sexes,50.9,2275.9
01/04/05,All Races,Both Sexes,39.1,2541.6
02/04/05,All Races,Both Sexes,54.7,2057.2
03/04/05,All Races,Both Sexes,54.1,2147.1
04/04/05,All Races,Both Sexes,60.8,1958.2
05/04/05,All Races,Both Sexes,59.6,2049.5
06/04/05,All Races,Both Sexes,57.2,2141.4
07/04/05,All Races,Both Sexes,59.7,2038
08/04/05,All Races,Both Sexes,59,2068.7
09/04/05,All Races,Both Sexes,56.7,2146.2
10/04/05,All Races,Both Sexes,60.4,1989.5
11/04/05,All Races,Both Sexes,56.8,2124.6
12/04/05,All Races,Both Sexes,57.1,2081.2
13/04/05,All Races,Both Sexes,59.7,1943.8
14/04/05,All Races,Both Sexes,61.1,1895.1
15/04/05,All Races,Both Sexes,62.1,1897.1
16/04/05,All Races,Both Sexes,63.3,1850.1
17/04/05,All Races,Both Sexes,61.1,1888.2
18/04/05,All Races,Both Sexes,61.7,1860.1
19/04/05,All Races,Both Sexes,58.5,1963.7
20/04/05,All Races,Both Sexes,60,1882.6
21/04/05,All Races,Both Sexes,63.5,1764.3
22/04/05,All Races,Both Sexes,63.7,1766.9
23/04/05,All Races,Both Sexes,62.9,1785
24/04/05,All Races,Both Sexes,64.8,1694.6
25/04/05,All Races,Both Sexes,66.2,1635.8
26/04/05,All Races,Both Sexes,63.3,1702.4
27/04/05,All Races,Both Sexes,65.2,1618.5
28/04/05,All Races,Both Sexes,65.9,1575.4
29/04/05,All Races,Both Sexes,66.7,1529.7
30/04/05,All Races,Both Sexes,66.8,1532
01/05/05,All Races,Both Sexes,67.2,1501.7
02/05/05,All Races,Both Sexes,68,1457.3
03/05/05,All Races,Both Sexes,68.2,1446
04/05/05,All Races,Both Sexes,68.4,1423.5
05/05/05,All Races,Both Sexes,68.6,1394.6
06/05/05,All Races,Both Sexes,68.8,1385.6
07/05/05,All Races,Both Sexes,69.6,1314.8
08/05/05,All Races,Both Sexes,69.6,1332.3
09/05/05,All Races,Both Sexes,69.7,1333.7
10/05/05,All Races,Both Sexes,69.5,1356.7
11/05/05,All Races,Both Sexes,69.6,1343.4
12/05/05,All Races,Both Sexes,69.9,1317.3
13/05/05,All Races,Both Sexes,69.7,1339.2
14/05/05,All Races,Both Sexes,70.2,1298.8
15/05/05,All Races,Both Sexes,70.1,1323.6
16/05/05,All Races,Both Sexes,69.9,1346.3
17/05/05,All Races,Both Sexes,70.2,1303.8
18/05/05,All Races,Both Sexes,70.2,1306.5
19/05/05,All Races,Both Sexes,70.2,1309
20/05/05,All Races,Both Sexes,70.5,1274
21/05/05,All Races,Both Sexes,70.2,1304.5
22/05/05,All Races,Both Sexes,70.5,1271.8
23/05/05,All Races,Both Sexes,70.8,1222.6
24/05/05,All Races,Both Sexes,71.1,1213.1
25/05/05,All Races,Both Sexes,71.2,1214.8
26/05/05,All Races,Both Sexes,71.4,1201.2
27/05/05,All Races,Both Sexes,72,1151.8
28/05/05,All Races,Both Sexes,72.6,1094.4
29/05/05,All Races,Both Sexes,72.9,1084.1
30/05/05,All Races,Both Sexes,73.3,1051.6
31/05/05,All Races,Both Sexes,73.5,1043.7
01/06/05,All Races,Both Sexes,73.9,1010.6
02/06/05,All Races,Both Sexes,73.7,1038.7
03/06/05,All Races,Both Sexes,74.1,1007
04/06/05,All Races,Both Sexes,74.5,984.9
05/06/05,All Races,Both Sexes,74.6,990
06/06/05,All Races,Both Sexes,74.7,982.1
07/06/05,All Races,Both Sexes,74.7,987.8
08/06/05,All Races,Both Sexes,74.7,978.4
09/06/05,All Races,Both Sexes,74.9,969.6
10/06/05,All Races,Both Sexes,74.9,975.1
11/06/05,All Races,Both Sexes,75.1,949.9
12/06/05,All Races,Both Sexes,75.4,938
13/06/05,All Races,Both Sexes,75.5,921.9
